Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,0
11,   -60.53,0
12,   -57.97,0
13,   -55.40,196
14,   -52.84,269
15,   -50.27,289
16,   -47.71,278
17,   -45.15,241
18,   -42.58,273
19,   -40.02,254
20,   -37.45,253
21,   -34.89,262
22,   -32.32,236
23,   -29.76,277
24,   -27.19,249
25,   -24.63,318
26,   -22.06,346
27,   -19.50,366
28,   -16.94,368
29,   -14.37,380
30,   -11.81,397
31,    -9.24,387
32,    -6.68,386
33,    -4.11,370
34,    -1.55,359
35,     1.02,311
36,     3.58,290
37,     6.15,271
38,     8.71,265
39,    11.27,222
40,    13.84,286
41,    16.40,238
42,    18.97,223
43,    21.53,238
44,    24.10,249
45,    26.66,248
46,    29.23,234
47,    31.79,241
48,    34.35,262
49,    36.92,266
50,    39.48,248
51,    42.05,227
52,    44.61,250
53,    47.18,237
54,    49.74,226
55,    52.31,259
56,    54.87,248
57,    57.44,239
58,    60.00,253
59,    62.56,204
60,    65.13,261
61,    67.69,260
62,    70.26,255
63,    72.82,236
64,    75.39,220
65,    77.95,257
66,    80.52,254
67,    83.08,254
68,    85.65,241
69,    88.21,238
70,    90.77,227
71,    93.34,251
72,    95.90,232
73,    98.47,247
74,   101.03,285
75,   103.60,247
76,   106.16,257
77,   108.73,250
78,   111.29,237
79,   113.85,248
80,   116.42,286
81,   118.98,269
82,   121.55,253
83,   124.11,274
84,   126.68,260
85,   129.24,276
86,   131.81,312
87,   134.37,296
88,   136.94,274
89,   139.50,300
90,   142.06,301
91,   144.63,318
92,   147.19,340
93,   149.76,332
94,   152.32,355
95,   154.89,363
96,   157.45,349
97,   160.02,368
98,   162.58,369
99,   165.15,404
100,   167.71,388
101,   170.27,344
102,   172.84,396
103,   175.40,384
104,   177.97,340
105,   180.53,364
106,   183.10,338
107,   185.66,340
108,   188.23,364
109,   190.79,357
110,   193.35,343
111,   195.92,357
112,   198.48,330
113,   201.05,307
114,   203.61,310
115,   206.18,311
116,   208.74,319
117,   211.31,305
118,   213.87,292
119,   216.44,278
120,   219.00,344
121,   221.56,314
122,   224.13,283
123,   226.69,298
124,   229.26,310
125,   231.82,301
126,   234.39,293
127,   236.95,272
128,   239.52,266
129,   242.08,296
130,   244.65,274
131,   247.21,258
132,   249.77,288
133,   252.34,264
134,   254.90,283
135,   257.47,311
136,   260.03,260
137,   262.60,270
138,   265.16,245
139,   267.73,233
140,   270.29,238
141,   272.85,247
142,   275.42,255
143,   277.98,252
144,   280.55,249
145,   283.11,271
146,   285.68,271
147,   288.24,239
148,   290.81,236
149,   293.37,245
150,   295.94,229
151,   298.50,232
152,   301.06,215
153,   303.63,215
154,   306.19,235
155,   308.76,236
156,   311.32,239
157,   313.89,220
158,   316.45,198
159,   319.02,246
160,   321.58,229
161,   324.15,215
162,   326.71,224
163,   329.27,212
164,   331.84,214
165,   334.40,219
166,   336.97,212
167,   339.53,202
168,   342.10,215
169,   344.66,238
170,   347.23,238
171,   349.79,201
172,   352.35,222
173,   354.92,212
174,   357.48,209
175,   360.05,214
176,   362.61,204
177,   365.18,201
178,   367.74,201
179,   370.31,208
180,   372.87,191
181,   375.44,207
182,   378.00,222
183,   380.56,173
184,   383.13,227
185,   385.69,189
186,   388.26,237
187,   390.82,227
188,   393.39,202
189,   395.95,223
190,   398.52,196
191,   401.08,200
192,   403.65,190
193,   406.21,208
194,   408.77,203
195,   411.34,193
196,   413.90,190
197,   416.47,187
198,   419.03,188
199,   421.60,186
200,   424.16,168
201,   426.73,177
202,   429.29,187
203,   431.85,184
204,   434.42,170
205,   436.98,208
206,   439.55,200
207,   442.11,199
208,   444.68,192
209,   447.24,187
210,   449.81,182
211,   452.37,190
212,   454.94,192
213,   457.50,195
214,   460.06,201
215,   462.63,174
216,   465.19,183
217,   467.76,175
218,   470.32,183
219,   472.89,186
220,   475.45,167
221,   478.02,166
222,   480.58,191
223,   483.15,180
224,   485.71,192
225,   488.27,211
226,   490.84,200
227,   493.40,194
228,   495.97,180
229,   498.53,181
230,   501.10,192
231,   503.66,190
232,   506.23,183
233,   508.79,215
234,   511.35,204
235,   513.92,198
236,   516.48,175
237,   519.05,172
238,   521.61,184
239,   524.18,192
240,   526.74,194
241,   529.31,176
242,   531.87,188
243,   534.44,177
244,   537.00,176
245,   539.56,178
246,   542.13,177
247,   544.69,187
248,   547.26,193
249,   549.82,191
250,   552.39,169
251,   554.95,173
252,   557.52,173
253,   560.08,192
254,   562.65,176
255,   565.21,182
256,   567.77,183
257,   570.34,166
258,   572.90,176
259,   575.47,185
260,   578.03,181
261,   580.60,180
262,   583.16,163
263,   585.73,203
264,   588.29,166
265,   590.85,183
266,   593.42,226
267,   595.98,203
268,   598.55,178
269,   601.11,187
270,   603.68,175
271,   606.24,215
272,   608.81,166
273,   611.37,182
274,   613.94,231
275,   616.50,178
276,   619.06,201
277,   621.63,202
278,   624.19,185
279,   626.76,188
280,   629.32,171
281,   631.89,204
282,   634.45,191
283,   637.02,182
284,   639.58,183
285,   642.15,222
286,   644.71,186
287,   647.27,172
288,   649.84,191
289,   652.40,175
290,   654.97,194
291,   657.53,180
292,   660.10,163
293,   662.66,183
294,   665.23,170
295,   667.79,197
296,   670.35,201
297,   672.92,184
298,   675.48,191
299,   678.05,179
300,   680.61,163
301,   683.18,180
302,   685.74,200
303,   688.31,197
304,   690.87,169
305,   693.44,183
306,   696.00,194
307,   698.56,202
308,   701.13,177
309,   703.69,180
310,   706.26,215
311,   708.82,178
312,   711.39,213
313,   713.95,202
314,   716.52,191
315,   719.08,199
316,   721.65,171
317,   724.21,217
318,   726.77,207
319,   729.34,190
320,   731.90,201
321,   734.47,213
322,   737.03,205
323,   739.60,195
324,   742.16,195
325,   744.73,192
326,   747.29,208
327,   749.85,198
328,   752.42,196
329,   754.98,184
330,   757.55,203
331,   760.11,211
332,   762.68,183
333,   765.24,219
334,   767.81,197
335,   770.37,224
336,   772.94,196
337,   775.50,214
338,   778.06,204
339,   780.63,195
340,   783.19,226
341,   785.76,211
342,   788.32,191
343,   790.89,232
344,   793.45,227
345,   796.02,236
346,   798.58,253
347,   801.15,235
348,   803.71,199
349,   806.27,225
350,   808.84,214
351,   811.40,224
352,   813.97,244
353,   816.53,247
354,   819.10,267
355,   821.66,236
356,   824.23,215
357,   826.79,229
358,   829.35,216
359,   831.92,270
360,   834.48,220
361,   837.05,261
362,   839.61,221
363,   842.18,223
364,   844.74,229
365,   847.31,272
366,   849.87,247
367,   852.44,229
368,   855.00,238
369,   857.56,231
370,   860.13,240
371,   862.69,221
372,   865.26,249
373,   867.82,250
374,   870.39,249
375,   872.95,206
376,   875.52,239
377,   878.08,237
378,   880.65,228
379,   883.21,234
380,   885.77,240
381,   888.34,238
382,   890.90,248
383,   893.47,227
384,   896.03,241
385,   898.60,253
386,   901.16,250
387,   903.73,254
388,   906.29,251
389,   908.85,230
390,   911.42,247
391,   913.98,245
392,   916.55,253
393,   919.11,221
394,   921.68,231
395,   924.24,218
396,   926.81,213
397,   929.37,242
398,   931.94,215
399,   934.50,205
400,   937.06,231
401,   939.63,187
402,   942.19,211
403,   944.76,214
404,   947.32,212
405,   949.89,210
406,   952.45,208
407,   955.02,198
408,   957.58,195
409,   960.15,218
410,   962.71,202
411,   965.27,194
412,   967.84,204
413,   970.40,167
414,   972.97,174
415,   975.53,166
