Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,2
11,   -60.53,1
12,   -57.97,84
13,   -55.40,2739
14,   -52.84,2223
15,   -50.27,1378
16,   -47.71,980
17,   -45.15,736
18,   -42.58,641
19,   -40.02,639
20,   -37.45,613
21,   -34.89,621
22,   -32.32,562
23,   -29.76,576
24,   -27.19,573
25,   -24.63,620
26,   -22.06,671
27,   -19.50,739
28,   -16.94,785
29,   -14.37,782
30,   -11.81,741
31,    -9.24,792
32,    -6.68,750
33,    -4.11,660
34,    -1.55,706
35,     1.02,666
36,     3.58,575
37,     6.15,571
38,     8.71,511
39,    11.27,493
40,    13.84,492
41,    16.40,575
42,    18.97,499
43,    21.53,574
44,    24.10,513
45,    26.66,499
46,    29.23,519
47,    31.79,511
48,    34.35,501
49,    36.92,485
50,    39.48,520
51,    42.05,522
52,    44.61,517
53,    47.18,485
54,    49.74,486
55,    52.31,504
56,    54.87,484
57,    57.44,547
58,    60.00,518
59,    62.56,499
60,    65.13,504
61,    67.69,501
62,    70.26,476
63,    72.82,517
64,    75.39,487
65,    77.95,514
66,    80.52,523
67,    83.08,514
68,    85.65,507
69,    88.21,530
70,    90.77,564
71,    93.34,529
72,    95.90,530
73,    98.47,555
74,   101.03,628
75,   103.60,581
76,   106.16,602
77,   108.73,648
78,   111.29,621
79,   113.85,668
80,   116.42,664
81,   118.98,734
82,   121.55,759
83,   124.11,748
84,   126.68,801
85,   129.24,739
86,   131.81,712
87,   134.37,744
88,   136.94,718
89,   139.50,717
90,   142.06,733
91,   144.63,728
92,   147.19,684
93,   149.76,688
94,   152.32,705
95,   154.89,706
96,   157.45,701
97,   160.02,630
98,   162.58,675
99,   165.15,688
100,   167.71,679
101,   170.27,611
102,   172.84,653
103,   175.40,605
104,   177.97,602
105,   180.53,635
106,   183.10,572
107,   185.66,560
108,   188.23,580
109,   190.79,562
110,   193.35,550
111,   195.92,606
112,   198.48,552
113,   201.05,567
114,   203.61,541
115,   206.18,549
116,   208.74,546
117,   211.31,516
118,   213.87,502
119,   216.44,480
120,   219.00,524
121,   221.56,489
122,   224.13,521
123,   226.69,476
124,   229.26,508
125,   231.82,476
126,   234.39,515
127,   236.95,459
128,   239.52,499
129,   242.08,503
130,   244.65,494
131,   247.21,456
132,   249.77,483
133,   252.34,455
134,   254.90,451
135,   257.47,480
136,   260.03,465
137,   262.60,481
138,   265.16,495
139,   267.73,438
140,   270.29,430
141,   272.85,406
142,   275.42,403
143,   277.98,444
144,   280.55,444
145,   283.11,423
146,   285.68,401
147,   288.24,464
148,   290.81,424
149,   293.37,425
150,   295.94,450
151,   298.50,423
152,   301.06,394
153,   303.63,440
154,   306.19,452
155,   308.76,423
156,   311.32,420
157,   313.89,434
158,   316.45,436
159,   319.02,391
160,   321.58,433
161,   324.15,418
162,   326.71,407
163,   329.27,416
164,   331.84,406
165,   334.40,426
166,   336.97,387
167,   339.53,429
168,   342.10,429
169,   344.66,483
170,   347.23,457
171,   349.79,422
172,   352.35,412
173,   354.92,428
174,   357.48,438
175,   360.05,422
176,   362.61,456
177,   365.18,447
178,   367.74,444
179,   370.31,422
180,   372.87,450
181,   375.44,420
182,   378.00,463
183,   380.56,428
184,   383.13,423
185,   385.69,445
186,   388.26,433
187,   390.82,432
188,   393.39,402
189,   395.95,470
190,   398.52,462
191,   401.08,428
192,   403.65,454
193,   406.21,417
194,   408.77,374
195,   411.34,377
196,   413.90,389
197,   416.47,380
198,   419.03,360
199,   421.60,337
200,   424.16,284
201,   426.73,269
202,   429.29,247
203,   431.85,283
204,   434.42,267
205,   436.98,234
206,   439.55,211
207,   442.11,201
208,   444.68,204
209,   447.24,185
210,   449.81,137
211,   452.37,156
212,   454.94,135
213,   457.50,140
214,   460.06,122
215,   462.63,103
216,   465.19,125
217,   467.76,83
218,   470.32,105
219,   472.89,75
220,   475.45,85
221,   478.02,79
222,   480.58,74
223,   483.15,71
224,   485.71,69
225,   488.27,72
226,   490.84,75
227,   493.40,60
228,   495.97,67
229,   498.53,54
230,   501.10,56
231,   503.66,62
232,   506.23,50
233,   508.79,54
234,   511.35,45
235,   513.92,47
236,   516.48,43
237,   519.05,45
238,   521.61,54
239,   524.18,53
240,   526.74,46
241,   529.31,53
242,   531.87,48
243,   534.44,45
244,   537.00,56
245,   539.56,54
246,   542.13,46
247,   544.69,59
248,   547.26,56
249,   549.82,55
250,   552.39,78
251,   554.95,78
252,   557.52,89
253,   560.08,83
254,   562.65,107
255,   565.21,122
256,   567.77,144
257,   570.34,160
258,   572.90,189
259,   575.47,224
260,   578.03,249
261,   580.60,281
262,   583.16,324
263,   585.73,380
264,   588.29,445
265,   590.85,508
266,   593.42,586
267,   595.98,630
268,   598.55,714
269,   601.11,837
270,   603.68,906
271,   606.24,968
272,   608.81,1110
273,   611.37,1202
274,   613.94,1298
275,   616.50,1407
276,   619.06,1518
277,   621.63,1546
278,   624.19,1613
279,   626.76,1717
280,   629.32,1719
281,   631.89,1800
282,   634.45,1788
283,   637.02,1761
284,   639.58,1764
285,   642.15,1754
286,   644.71,1770
287,   647.27,1704
288,   649.84,1629
289,   652.40,1531
290,   654.97,1477
291,   657.53,1376
292,   660.10,1350
293,   662.66,1175
294,   665.23,1073
295,   667.79,998
296,   670.35,912
297,   672.92,764
298,   675.48,721
299,   678.05,590
300,   680.61,559
301,   683.18,463
302,   685.74,384
303,   688.31,349
304,   690.87,350
305,   693.44,251
306,   696.00,224
307,   698.56,186
308,   701.13,176
309,   703.69,134
310,   706.26,127
311,   708.82,105
312,   711.39,67
313,   713.95,62
314,   716.52,61
315,   719.08,44
316,   721.65,48
317,   724.21,24
318,   726.77,28
319,   729.34,25
320,   731.90,22
321,   734.47,26
322,   737.03,10
323,   739.60,13
324,   742.16,10
325,   744.73,11
326,   747.29,14
327,   749.85,13
328,   752.42,9
329,   754.98,10
330,   757.55,5
331,   760.11,2
332,   762.68,8
333,   765.24,6
334,   767.81,4
335,   770.37,4
336,   772.94,6
337,   775.50,4
338,   778.06,2
339,   780.63,5
340,   783.19,7
341,   785.76,3
342,   788.32,8
343,   790.89,1
344,   793.45,6
345,   796.02,5
346,   798.58,6
347,   801.15,5
348,   803.71,5
349,   806.27,3
350,   808.84,5
351,   811.40,4
352,   813.97,2
353,   816.53,10
354,   819.10,6
355,   821.66,2
356,   824.23,3
357,   826.79,4
358,   829.35,8
359,   831.92,3
360,   834.48,2
361,   837.05,6
362,   839.61,6
363,   842.18,2
364,   844.74,1
365,   847.31,3
366,   849.87,7
367,   852.44,5
368,   855.00,5
369,   857.56,2
370,   860.13,0
371,   862.69,6
372,   865.26,3
373,   867.82,2
374,   870.39,3
375,   872.95,3
376,   875.52,4
377,   878.08,7
378,   880.65,2
379,   883.21,2
380,   885.77,8
381,   888.34,4
382,   890.90,6
383,   893.47,5
384,   896.03,6
385,   898.60,3
386,   901.16,7
387,   903.73,4
388,   906.29,3
389,   908.85,5
390,   911.42,2
391,   913.98,4
392,   916.55,1
393,   919.11,0
394,   921.68,3
395,   924.24,4
396,   926.81,0
397,   929.37,4
398,   931.94,4
399,   934.50,2
400,   937.06,4
401,   939.63,2
402,   942.19,1
403,   944.76,2
404,   947.32,3
405,   949.89,3
406,   952.45,2
407,   955.02,3
408,   957.58,1
409,   960.15,4
410,   962.71,1
411,   965.27,1
412,   967.84,1
