Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,1
11,   -60.53,0
12,   -57.97,38
13,   -55.40,1290
14,   -52.84,997
15,   -50.27,689
16,   -47.71,475
17,   -45.15,352
18,   -42.58,336
19,   -40.02,307
20,   -37.45,287
21,   -34.89,217
22,   -32.32,282
23,   -29.76,286
24,   -27.19,334
25,   -24.63,338
26,   -22.06,328
27,   -19.50,342
28,   -16.94,349
29,   -14.37,404
30,   -11.81,393
31,    -9.24,415
32,    -6.68,365
33,    -4.11,346
34,    -1.55,349
35,     1.02,311
36,     3.58,299
37,     6.15,289
38,     8.71,280
39,    11.27,239
40,    13.84,249
41,    16.40,250
42,    18.97,245
43,    21.53,241
44,    24.10,264
45,    26.66,238
46,    29.23,239
47,    31.79,234
48,    34.35,251
49,    36.92,258
50,    39.48,249
51,    42.05,271
52,    44.61,240
53,    47.18,210
54,    49.74,274
55,    52.31,227
56,    54.87,249
57,    57.44,252
58,    60.00,237
59,    62.56,265
60,    65.13,248
61,    67.69,233
62,    70.26,229
63,    72.82,254
64,    75.39,262
65,    77.95,239
66,    80.52,242
67,    83.08,257
68,    85.65,224
69,    88.21,277
70,    90.77,235
71,    93.34,284
72,    95.90,276
73,    98.47,261
74,   101.03,270
75,   103.60,286
76,   106.16,307
77,   108.73,313
78,   111.29,309
79,   113.85,320
80,   116.42,327
81,   118.98,339
82,   121.55,352
83,   124.11,386
84,   126.68,331
85,   129.24,366
86,   131.81,358
87,   134.37,360
88,   136.94,340
89,   139.50,378
90,   142.06,312
91,   144.63,330
92,   147.19,353
93,   149.76,330
94,   152.32,354
95,   154.89,312
96,   157.45,304
97,   160.02,329
98,   162.58,322
99,   165.15,303
100,   167.71,356
101,   170.27,312
102,   172.84,314
103,   175.40,311
104,   177.97,303
105,   180.53,296
106,   183.10,280
107,   185.66,300
108,   188.23,303
109,   190.79,309
110,   193.35,296
111,   195.92,288
112,   198.48,283
113,   201.05,263
114,   203.61,331
115,   206.18,280
116,   208.74,293
117,   211.31,246
118,   213.87,287
119,   216.44,263
120,   219.00,256
121,   221.56,227
122,   224.13,239
123,   226.69,247
124,   229.26,253
125,   231.82,270
126,   234.39,241
127,   236.95,250
128,   239.52,242
129,   242.08,234
130,   244.65,260
131,   247.21,235
132,   249.77,245
133,   252.34,264
134,   254.90,250
135,   257.47,233
136,   260.03,234
137,   262.60,244
138,   265.16,210
139,   267.73,249
140,   270.29,242
141,   272.85,214
142,   275.42,220
143,   277.98,231
144,   280.55,221
145,   283.11,218
146,   285.68,223
147,   288.24,221
148,   290.81,238
149,   293.37,201
150,   295.94,246
151,   298.50,240
152,   301.06,219
153,   303.63,222
154,   306.19,217
155,   308.76,232
156,   311.32,218
157,   313.89,236
158,   316.45,205
159,   319.02,228
160,   321.58,247
161,   324.15,215
162,   326.71,222
163,   329.27,221
164,   331.84,207
165,   334.40,202
166,   336.97,239
167,   339.53,241
168,   342.10,235
169,   344.66,223
170,   347.23,230
171,   349.79,209
172,   352.35,224
173,   354.92,218
174,   357.48,227
175,   360.05,205
176,   362.61,252
177,   365.18,226
178,   367.74,260
179,   370.31,236
180,   372.87,231
181,   375.44,233
182,   378.00,228
183,   380.56,239
184,   383.13,235
185,   385.69,218
186,   388.26,210
187,   390.82,228
188,   393.39,221
189,   395.95,206
190,   398.52,226
191,   401.08,207
192,   403.65,185
193,   406.21,223
194,   408.77,188
195,   411.34,201
196,   413.90,186
197,   416.47,193
198,   419.03,188
199,   421.60,134
200,   424.16,158
201,   426.73,131
202,   429.29,132
203,   431.85,136
204,   434.42,113
205,   436.98,111
206,   439.55,108
207,   442.11,96
208,   444.68,85
209,   447.24,95
210,   449.81,68
211,   452.37,74
212,   454.94,69
213,   457.50,58
214,   460.06,66
215,   462.63,62
216,   465.19,51
217,   467.76,59
218,   470.32,46
219,   472.89,57
220,   475.45,38
221,   478.02,45
222,   480.58,54
223,   483.15,46
224,   485.71,37
225,   488.27,31
226,   490.84,38
227,   493.40,32
228,   495.97,38
229,   498.53,30
230,   501.10,42
231,   503.66,26
232,   506.23,30
233,   508.79,23
234,   511.35,31
235,   513.92,39
236,   516.48,27
237,   519.05,30
238,   521.61,29
239,   524.18,34
240,   526.74,28
241,   529.31,27
242,   531.87,31
243,   534.44,35
244,   537.00,29
245,   539.56,21
246,   542.13,35
247,   544.69,41
248,   547.26,40
249,   549.82,40
250,   552.39,52
251,   554.95,59
252,   557.52,68
253,   560.08,74
254,   562.65,75
255,   565.21,92
256,   567.77,90
257,   570.34,89
258,   572.90,113
259,   575.47,146
260,   578.03,167
261,   580.60,214
262,   583.16,225
263,   585.73,271
264,   588.29,273
265,   590.85,333
266,   593.42,354
267,   595.98,421
268,   598.55,463
269,   601.11,485
270,   603.68,545
271,   606.24,589
272,   608.81,639
273,   611.37,702
274,   613.94,741
275,   616.50,740
276,   619.06,797
277,   621.63,832
278,   624.19,879
279,   626.76,876
280,   629.32,930
281,   631.89,912
282,   634.45,894
283,   637.02,903
284,   639.58,895
285,   642.15,830
286,   644.71,810
287,   647.27,760
288,   649.84,784
289,   652.40,741
290,   654.97,684
291,   657.53,605
292,   660.10,542
293,   662.66,480
294,   665.23,462
295,   667.79,437
296,   670.35,374
297,   672.92,355
298,   675.48,283
299,   678.05,223
300,   680.61,215
301,   683.18,197
302,   685.74,160
303,   688.31,137
304,   690.87,111
305,   693.44,100
306,   696.00,86
307,   698.56,59
308,   701.13,71
309,   703.69,63
310,   706.26,52
311,   708.82,35
312,   711.39,27
313,   713.95,24
314,   716.52,19
315,   719.08,19
316,   721.65,6
317,   724.21,16
318,   726.77,11
319,   729.34,9
320,   731.90,11
321,   734.47,6
322,   737.03,6
323,   739.60,4
324,   742.16,4
325,   744.73,7
326,   747.29,5
327,   749.85,1
328,   752.42,3
329,   754.98,2
330,   757.55,3
331,   760.11,1
332,   762.68,3
333,   765.24,3
334,   767.81,3
335,   770.37,3
336,   772.94,4
337,   775.50,3
338,   778.06,1
339,   780.63,4
340,   783.19,1
341,   785.76,7
342,   788.32,1
343,   790.89,1
344,   793.45,1
345,   796.02,0
346,   798.58,4
347,   801.15,3
348,   803.71,2
349,   806.27,0
350,   808.84,1
351,   811.40,0
352,   813.97,3
353,   816.53,3
354,   819.10,1
355,   821.66,1
356,   824.23,0
357,   826.79,4
358,   829.35,4
359,   831.92,3
360,   834.48,1
361,   837.05,3
362,   839.61,3
363,   842.18,1
364,   844.74,1
365,   847.31,3
366,   849.87,0
367,   852.44,3
368,   855.00,5
369,   857.56,3
370,   860.13,1
371,   862.69,1
372,   865.26,3
373,   867.82,3
374,   870.39,2
375,   872.95,1
376,   875.52,2
377,   878.08,2
378,   880.65,4
379,   883.21,1
380,   885.77,1
381,   888.34,2
382,   890.90,2
383,   893.47,1
384,   896.03,2
385,   898.60,3
386,   901.16,1
387,   903.73,0
388,   906.29,1
389,   908.85,1
390,   911.42,3
391,   913.98,1
392,   916.55,2
393,   919.11,3
394,   921.68,1
395,   924.24,2
396,   926.81,3
397,   929.37,2
398,   931.94,0
399,   934.50,0
400,   937.06,3
401,   939.63,3
402,   942.19,1
403,   944.76,2
404,   947.32,1
405,   949.89,3
406,   952.45,2
407,   955.02,0
408,   957.58,1
409,   960.15,1
410,   962.71,0
411,   965.27,2
412,   967.84,0
413,   970.40,1
414,   972.97,4
