Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,101.40
Live Time Elapsed:,100.00
Start Time:,Tuesday, January 21, 2025, 14:01:41
End Time:,Tuesday, January 21, 2025, 14:03:23

Channel Data:
Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,0
11,   -60.53,0
12,   -57.97,8
13,   -55.40,207
14,   -52.84,261
15,   -50.27,277
16,   -47.71,279
17,   -45.15,256
18,   -42.58,237
19,   -40.02,294
20,   -37.45,266
21,   -34.89,268
22,   -32.32,244
23,   -29.76,277
24,   -27.19,253
25,   -24.63,284
26,   -22.06,290
27,   -19.50,330
28,   -16.94,351
29,   -14.37,351
30,   -11.81,391
31,    -9.24,392
32,    -6.68,394
33,    -4.11,373
34,    -1.55,350
35,     1.02,306
36,     3.58,339
37,     6.15,317
38,     8.71,314
39,    11.27,294
40,    13.84,250
41,    16.40,277
42,    18.97,256
43,    21.53,235
44,    24.10,269
45,    26.66,223
46,    29.23,204
47,    31.79,255
48,    34.35,239
49,    36.92,247
50,    39.48,270
51,    42.05,222
52,    44.61,243
53,    47.18,249
54,    49.74,241
55,    52.31,237
56,    54.87,231
57,    57.44,270
58,    60.00,245
59,    62.56,238
60,    65.13,229
61,    67.69,264
62,    70.26,220
63,    72.82,235
64,    75.39,235
65,    77.95,247
66,    80.52,232
67,    83.08,241
68,    85.65,220
69,    88.21,244
70,    90.77,222
71,    93.34,224
72,    95.90,236
73,    98.47,235
74,   101.03,242
75,   103.60,243
76,   106.16,239
77,   108.73,232
78,   111.29,228
79,   113.85,267
80,   116.42,248
81,   118.98,253
82,   121.55,255
83,   124.11,273
84,   126.68,236
85,   129.24,276
86,   131.81,282
87,   134.37,288
88,   136.94,300
89,   139.50,287
90,   142.06,325
91,   144.63,298
92,   147.19,326
93,   149.76,337
94,   152.32,327
95,   154.89,351
96,   157.45,335
97,   160.02,351
98,   162.58,345
99,   165.15,376
100,   167.71,336
101,   170.27,374
102,   172.84,421
103,   175.40,347
104,   177.97,390
105,   180.53,366
106,   183.10,347
107,   185.66,332
108,   188.23,321
109,   190.79,332
110,   193.35,316
111,   195.92,306
112,   198.48,349
113,   201.05,334
114,   203.61,327
115,   206.18,316
116,   208.74,278
117,   211.31,339
118,   213.87,326
119,   216.44,320
120,   219.00,327
121,   221.56,299
122,   224.13,308
123,   226.69,289
124,   229.26,286
125,   231.82,284
126,   234.39,297
127,   236.95,260
128,   239.52,268
129,   242.08,246
130,   244.65,282
131,   247.21,269
132,   249.77,285
133,   252.34,289
134,   254.90,251
135,   257.47,269
136,   260.03,280
137,   262.60,260
138,   265.16,296
139,   267.73,276
140,   270.29,246
141,   272.85,260
142,   275.42,233
143,   277.98,264
144,   280.55,235
145,   283.11,230
146,   285.68,268
147,   288.24,255
148,   290.81,240
149,   293.37,227
150,   295.94,255
151,   298.50,244
152,   301.06,224
153,   303.63,236
154,   306.19,244
155,   308.76,210
156,   311.32,238
157,   313.89,218
158,   316.45,209
159,   319.02,214
160,   321.58,210
161,   324.15,194
162,   326.71,204
163,   329.27,212
164,   331.84,214
165,   334.40,223
166,   336.97,226
167,   339.53,214
168,   342.10,213
169,   344.66,224
170,   347.23,235
171,   349.79,221
172,   352.35,195
173,   354.92,220
174,   357.48,179
175,   360.05,194
176,   362.61,194
177,   365.18,203
178,   367.74,177
179,   370.31,215
180,   372.87,219
181,   375.44,220
182,   378.00,194
183,   380.56,204
184,   383.13,209
185,   385.69,213
186,   388.26,192
187,   390.82,217
188,   393.39,210
189,   395.95,185
190,   398.52,217
191,   401.08,178
192,   403.65,188
193,   406.21,191
194,   408.77,195
195,   411.34,201
196,   413.90,177
197,   416.47,174
198,   419.03,188
199,   421.60,182
200,   424.16,180
201,   426.73,200
202,   429.29,196
203,   431.85,186
204,   434.42,167
205,   436.98,201
206,   439.55,191
207,   442.11,194
208,   444.68,192
209,   447.24,181
210,   449.81,183
211,   452.37,192
212,   454.94,190
213,   457.50,223
214,   460.06,188
215,   462.63,195
216,   465.19,167
217,   467.76,191
218,   470.32,160
219,   472.89,203
220,   475.45,209
221,   478.02,199
222,   480.58,216
223,   483.15,183
224,   485.71,206
225,   488.27,179
226,   490.84,172
227,   493.40,189
228,   495.97,188
229,   498.53,164
230,   501.10,178
231,   503.66,184
232,   506.23,190
233,   508.79,212
234,   511.35,200
235,   513.92,173
236,   516.48,181
237,   519.05,167
238,   521.61,174
239,   524.18,169
240,   526.74,171
241,   529.31,197
242,   531.87,167
243,   534.44,178
244,   537.00,198
245,   539.56,181
246,   542.13,185
247,   544.69,195
248,   547.26,191
249,   549.82,181
250,   552.39,169
251,   554.95,192
252,   557.52,195
253,   560.08,193
254,   562.65,179
255,   565.21,197
256,   567.77,196
257,   570.34,197
258,   572.90,177
259,   575.47,187
260,   578.03,180
261,   580.60,202
262,   583.16,166
263,   585.73,200
264,   588.29,206
265,   590.85,186
266,   593.42,191
267,   595.98,199
268,   598.55,184
269,   601.11,153
270,   603.68,190
271,   606.24,180
272,   608.81,181
273,   611.37,170
