Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.82
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:50:47
End Time:,Tuesday, January 21, 2025, 14:51:48

Channel Data:
Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,0
11,   -60.53,0
12,   -57.97,2
13,   -55.40,126
14,   -52.84,162
15,   -50.27,164
16,   -47.71,189
17,   -45.15,177
18,   -42.58,155
19,   -40.02,164
20,   -37.45,156
21,   -34.89,140
22,   -32.32,162
23,   -29.76,186
24,   -27.19,168
25,   -24.63,197
26,   -22.06,196
27,   -19.50,182
28,   -16.94,215
29,   -14.37,242
30,   -11.81,228
31,    -9.24,226
32,    -6.68,220
33,    -4.11,203
34,    -1.55,197
35,     1.02,189
36,     3.58,183
37,     6.15,169
38,     8.71,166
39,    11.27,146
40,    13.84,144
41,    16.40,148
42,    18.97,137
43,    21.53,132
44,    24.10,141
45,    26.66,143
46,    29.23,137
47,    31.79,159
48,    34.35,173
49,    36.92,181
50,    39.48,143
51,    42.05,146
52,    44.61,147
53,    47.18,145
54,    49.74,139
55,    52.31,139
56,    54.87,148
57,    57.44,137
58,    60.00,162
59,    62.56,138
60,    65.13,143
61,    67.69,152
62,    70.26,153
63,    72.82,158
64,    75.39,141
65,    77.95,144
66,    80.52,146
67,    83.08,146
68,    85.65,131
69,    88.21,164
70,    90.77,160
71,    93.34,157
72,    95.90,115
73,    98.47,152
74,   101.03,136
75,   103.60,144
76,   106.16,152
77,   108.73,158
78,   111.29,164
79,   113.85,171
80,   116.42,161
81,   118.98,156
82,   121.55,173
83,   124.11,146
84,   126.68,148
85,   129.24,144
86,   131.81,191
87,   134.37,171
88,   136.94,183
89,   139.50,199
90,   142.06,204
91,   144.63,217
92,   147.19,204
93,   149.76,215
94,   152.32,225
95,   154.89,233
96,   157.45,185
97,   160.02,234
98,   162.58,235
99,   165.15,214
100,   167.71,205
101,   170.27,235
102,   172.84,212
103,   175.40,244
104,   177.97,229
105,   180.53,220
106,   183.10,212
107,   185.66,205
108,   188.23,225
109,   190.79,211
110,   193.35,192
111,   195.92,216
112,   198.48,173
113,   201.05,175
114,   203.61,190
115,   206.18,189
116,   208.74,193
117,   211.31,193
118,   213.87,188
119,   216.44,181
120,   219.00,179
121,   221.56,181
122,   224.13,201
123,   226.69,174
124,   229.26,172
125,   231.82,188
126,   234.39,161
127,   236.95,144
128,   239.52,168
129,   242.08,157
130,   244.65,161
131,   247.21,150
132,   249.77,186
133,   252.34,177
134,   254.90,193
135,   257.47,168
136,   260.03,165
137,   262.60,172
138,   265.16,160
139,   267.73,163
140,   270.29,149
141,   272.85,168
142,   275.42,167
143,   277.98,160
144,   280.55,160
145,   283.11,130
146,   285.68,134
147,   288.24,131
148,   290.81,163
149,   293.37,156
150,   295.94,143
151,   298.50,146
152,   301.06,122
153,   303.63,133
154,   306.19,135
155,   308.76,144
156,   311.32,126
157,   313.89,119
158,   316.45,117
159,   319.02,129
160,   321.58,120
161,   324.15,131
162,   326.71,114
163,   329.27,143
164,   331.84,122
165,   334.40,126
166,   336.97,130
167,   339.53,115
168,   342.10,126
169,   344.66,130
170,   347.23,112
171,   349.79,139
172,   352.35,123
173,   354.92,124
174,   357.48,127
175,   360.05,117
176,   362.61,112
177,   365.18,127
178,   367.74,110
179,   370.31,114
180,   372.87,101
181,   375.44,133
182,   378.00,114
183,   380.56,109
184,   383.13,136
185,   385.69,123
186,   388.26,109
187,   390.82,115
188,   393.39,122
189,   395.95,121
190,   398.52,123
191,   401.08,126
192,   403.65,116
193,   406.21,125
194,   408.77,100
195,   411.34,126
196,   413.90,111
197,   416.47,111
198,   419.03,111
199,   421.60,128
200,   424.16,122
201,   426.73,120
202,   429.29,100
203,   431.85,110
204,   434.42,125
205,   436.98,116
206,   439.55,118
207,   442.11,123
208,   444.68,122
209,   447.24,129
210,   449.81,121
211,   452.37,98
212,   454.94,84
213,   457.50,112
214,   460.06,125
215,   462.63,131
216,   465.19,120
217,   467.76,104
218,   470.32,126
219,   472.89,97
220,   475.45,112
221,   478.02,121
222,   480.58,119
223,   483.15,125
224,   485.71,127
225,   488.27,104
226,   490.84,116
227,   493.40,103
228,   495.97,115
229,   498.53,129
230,   501.10,103
231,   503.66,122
232,   506.23,107
233,   508.79,109
234,   511.35,116
235,   513.92,105
236,   516.48,112
237,   519.05,129
238,   521.61,116
239,   524.18,125
240,   526.74,106
241,   529.31,127
242,   531.87,118
243,   534.44,112
244,   537.00,105
245,   539.56,113
246,   542.13,105
247,   544.69,130
248,   547.26,109
249,   549.82,103
250,   552.39,101
251,   554.95,114
252,   557.52,107
253,   560.08,103
254,   562.65,126
255,   565.21,99
256,   567.77,117
257,   570.34,119
258,   572.90,119
259,   575.47,115
260,   578.03,99
261,   580.60,108
262,   583.16,119
263,   585.73,118
264,   588.29,126
265,   590.85,127
266,   593.42,119
267,   595.98,108
268,   598.55,120
269,   601.11,108
270,   603.68,111
271,   606.24,115
272,   608.81,135
273,   611.37,107
