Spectrum Name:,
Description:,
Student ID:,
Detector Used:,
Comments:,
Acquisition Mode:,PHA
High Voltage:,550
Conversion Gain:,1024
Coarse Gain:,4
Fine Gain:,1.78
ULD:,102.300000%
LLD:,2.000000%
Calibration Coefficients:,-88.74,2.565
Channels used to calibrate:,492,554
Energies used to calibrate:,1173,1332
Real Time Elapsed:,60.30
Live Time Elapsed:,60.00
Start Time:,Tuesday, January 21, 2025, 14:43:00
End Time:,Tuesday, January 21, 2025, 14:44:01

Channel Data:
Chan,Energy,Counts
0,   -88.74,0
1,   -86.18,0
2,   -83.61,0
3,   -81.05,0
4,   -78.48,0
5,   -75.92,0
6,   -73.35,0
7,   -70.79,0
8,   -68.23,0
9,   -65.66,0
10,   -63.10,0
11,   -60.53,1
12,   -57.97,9
13,   -55.40,389
14,   -52.84,303
15,   -50.27,187
16,   -47.71,155
17,   -45.15,118
18,   -42.58,101
19,   -40.02,93
20,   -37.45,93
21,   -34.89,77
22,   -32.32,78
23,   -29.76,89
24,   -27.19,96
25,   -24.63,105
26,   -22.06,113
27,   -19.50,123
28,   -16.94,118
29,   -14.37,133
30,   -11.81,154
31,    -9.24,134
32,    -6.68,123
33,    -4.11,134
34,    -1.55,139
35,     1.02,104
36,     3.58,111
37,     6.15,107
38,     8.71,100
39,    11.27,91
40,    13.84,83
41,    16.40,105
42,    18.97,86
43,    21.53,84
44,    24.10,101
45,    26.66,86
46,    29.23,96
47,    31.79,96
48,    34.35,79
49,    36.92,89
50,    39.48,73
51,    42.05,86
52,    44.61,82
53,    47.18,78
54,    49.74,90
55,    52.31,75
56,    54.87,81
57,    57.44,77
58,    60.00,96
59,    62.56,84
60,    65.13,85
61,    67.69,86
62,    70.26,102
63,    72.82,82
64,    75.39,90
65,    77.95,98
66,    80.52,76
67,    83.08,90
68,    85.65,98
69,    88.21,81
70,    90.77,78
71,    93.34,104
72,    95.90,91
73,    98.47,102
74,   101.03,81
75,   103.60,108
76,   106.16,91
77,   108.73,90
78,   111.29,110
79,   113.85,98
80,   116.42,108
81,   118.98,107
82,   121.55,110
83,   124.11,120
84,   126.68,107
85,   129.24,110
86,   131.81,130
87,   134.37,119
88,   136.94,120
89,   139.50,118
90,   142.06,95
91,   144.63,111
92,   147.19,103
93,   149.76,97
94,   152.32,115
95,   154.89,110
96,   157.45,112
97,   160.02,107
98,   162.58,97
99,   165.15,122
100,   167.71,90
101,   170.27,92
102,   172.84,101
103,   175.40,86
104,   177.97,80
105,   180.53,98
106,   183.10,85
107,   185.66,74
108,   188.23,98
109,   190.79,79
110,   193.35,102
111,   195.92,87
112,   198.48,76
113,   201.05,93
114,   203.61,90
115,   206.18,83
116,   208.74,95
117,   211.31,80
118,   213.87,76
119,   216.44,91
120,   219.00,81
121,   221.56,110
122,   224.13,84
123,   226.69,78
124,   229.26,88
125,   231.82,81
126,   234.39,72
127,   236.95,84
128,   239.52,83
129,   242.08,82
130,   244.65,70
131,   247.21,74
132,   249.77,82
133,   252.34,62
134,   254.90,70
135,   257.47,64
136,   260.03,66
137,   262.60,92
138,   265.16,75
139,   267.73,61
140,   270.29,79
141,   272.85,71
142,   275.42,55
143,   277.98,85
144,   280.55,68
145,   283.11,88
146,   285.68,69
147,   288.24,83
148,   290.81,65
149,   293.37,67
150,   295.94,59
151,   298.50,60
152,   301.06,69
153,   303.63,49
154,   306.19,77
155,   308.76,74
156,   311.32,65
157,   313.89,69
158,   316.45,77
159,   319.02,71
160,   321.58,82
161,   324.15,60
162,   326.71,61
163,   329.27,69
164,   331.84,68
165,   334.40,87
166,   336.97,72
167,   339.53,71
168,   342.10,66
169,   344.66,81
170,   347.23,73
171,   349.79,73
172,   352.35,63
173,   354.92,70
174,   357.48,66
175,   360.05,70
176,   362.61,78
177,   365.18,62
178,   367.74,73
179,   370.31,71
180,   372.87,66
181,   375.44,54
182,   378.00,55
183,   380.56,75
184,   383.13,65
185,   385.69,86
186,   388.26,61
187,   390.82,60
188,   393.39,74
189,   395.95,72
190,   398.52,60
191,   401.08,53
192,   403.65,72
193,   406.21,67
194,   408.77,47
195,   411.34,60
196,   413.90,46
197,   416.47,46
198,   419.03,43
199,   421.60,52
200,   424.16,39
201,   426.73,35
202,   429.29,38
203,   431.85,50
204,   434.42,39
205,   436.98,46
206,   439.55,31
207,   442.11,20
208,   444.68,29
209,   447.24,29
210,   449.81,29
211,   452.37,24
212,   454.94,20
213,   457.50,28
214,   460.06,17
215,   462.63,14
216,   465.19,20
217,   467.76,17
218,   470.32,18
219,   472.89,13
220,   475.45,26
221,   478.02,13
222,   480.58,12
223,   483.15,11
224,   485.71,14
225,   488.27,13
226,   490.84,14
227,   493.40,15
228,   495.97,16
229,   498.53,12
230,   501.10,15
231,   503.66,11
232,   506.23,14
233,   508.79,7
234,   511.35,9
235,   513.92,7
236,   516.48,8
237,   519.05,10
238,   521.61,6
239,   524.18,11
240,   526.74,9
241,   529.31,15
242,   531.87,12
243,   534.44,12
244,   537.00,10
245,   539.56,7
246,   542.13,12
247,   544.69,9
248,   547.26,8
249,   549.82,15
250,   552.39,16
251,   554.95,20
252,   557.52,21
253,   560.08,22
254,   562.65,30
255,   565.21,30
256,   567.77,35
257,   570.34,32
258,   572.90,34
259,   575.47,41
260,   578.03,47
261,   580.60,67
262,   583.16,80
263,   585.73,71
264,   588.29,102
265,   590.85,110
266,   593.42,118
267,   595.98,113
268,   598.55,130
269,   601.11,162
270,   603.68,169
271,   606.24,182
272,   608.81,206
273,   611.37,221
